Cert_ID,St_ID,Platform,Cost,Duration,Date
1,2251,Udemy,21.56,15,6/18/2022
2,2251,FutureLearn,23.2,5,8/20/2024
3,19904,FutureLearn,12.46,2,11/14/2021
4,19904,edX,14.41,5,4/30/2024
5,34092,edX,2.31,15,9/11/2022
6,34092,FutureLearn,5.42,6,12/5/2020
7,31318,FutureLearn,1.51,15,3/25/2021
8,31318,Coursera,4.1,9,8/21/2024
9,21188,Udemy,19.8,6,5/2/2024
10,21188,FutureLearn,24.94,1,1/10/2022
11,35968,edX,8.74,11,11/18/2024
12,35968,LinkedIn Learning,9.43,8,4/12/2023
13,19687,FutureLearn,11.55,16,8/1/2020
14,19687,Udemy,17.88,8,4/21/2020
15,1736,Coursera,18.39,12,2/27/2022
16,1736,edX,6.99,8,2/4/2020
17,30374,LinkedIn Learning,22.06,16,2/8/2024
18,30374,edX,8.51,14,2/20/2020
19,1596,Coursera,12.98,14,9/5/2022
20,1596,Coursera,6.48,9,2/21/2022
21,12240,Udemy,0.81,16,6/26/2023
22,12240,LinkedIn Learning,11.93,15,9/25/2023
23,34651,Udemy,16.71,15,4/24/2023
24,34651,LinkedIn Learning,12.63,5,6/24/2023
25,36210,Udemy,2.09,3,10/27/2024
26,36210,edX,9.88,3,7/12/2021
27,41597,FutureLearn,17.65,15,2/7/2024
28,41597,edX,10.69,6,7/25/2021
29,39871,Coursera,21.91,4,11/22/2022
30,39871,LinkedIn Learning,5,3,2/25/2020
31,12785,Coursera,19.39,3,5/25/2022
32,12785,edX,8.77,4,7/11/2021
33,505,Coursera,18.59,12,9/26/2023
34,505,FutureLearn,1.18,9,1/15/2020
35,31587,Udemy,20.31,14,1/22/2020
36,31587,Udemy,13.06,9,3/23/2022
37,34443,Udemy,18.59,13,7/31/2022
38,34443,FutureLearn,8.87,8,12/31/2022
39,2257,LinkedIn Learning,10.51,16,2/15/2024
40,2257,FutureLearn,21.97,16,4/1/2023
41,17510,LinkedIn Learning,7.8,6,6/7/2020
42,17510,Coursera,9.71,11,9/2/2022
43,41228,LinkedIn Learning,16,6,12/30/2021
44,41228,Udemy,24.4,7,3/23/2021
45,10946,FutureLearn,18.22,6,8/20/2023
46,10946,FutureLearn,19.31,15,9/12/2022
47,26121,LinkedIn Learning,21.66,15,2/5/2021
48,26121,LinkedIn Learning,2.11,12,6/29/2021
49,24024,edX,15.94,12,2/5/2021
50,24024,FutureLearn,0.48,13,11/4/2020
51,5830,LinkedIn Learning,11.18,8,5/20/2020
52,5830,Udemy,8.69,5,8/29/2020
53,104,FutureLearn,23.87,2,4/10/2024
54,104,Udemy,17.68,15,11/21/2021
55,29196,Udemy,7.72,6,11/8/2020
56,29196,Coursera,1.15,7,8/31/2023
57,816,edX,8.77,8,2/10/2020
58,816,Udemy,20.99,13,10/13/2021
59,22990,LinkedIn Learning,16.43,4,6/29/2022
60,22990,FutureLearn,3.8,12,6/6/2020
61,40981,edX,5.33,7,6/17/2023
62,40981,Udemy,20.33,12,10/13/2021
63,16419,edX,24.04,7,7/24/2020
64,16419,edX,10.04,1,4/29/2024
65,32435,Udemy,3.66,9,8/15/2021
66,32435,LinkedIn Learning,3.54,13,9/9/2021
67,40964,LinkedIn Learning,12.05,3,8/24/2024
68,40964,FutureLearn,21.62,8,8/11/2020
69,11822,FutureLearn,20.57,14,3/23/2021
70,11822,LinkedIn Learning,17.35,15,12/23/2021
71,33267,Udemy,21.26,7,10/22/2020
72,33267,Coursera,12.9,14,11/18/2024
73,4924,Udemy,11.85,2,5/17/2024
74,4924,FutureLearn,1.48,7,9/29/2022
75,31237,Coursera,16.9,3,1/21/2023
76,31237,Udemy,21.78,7,10/19/2022
77,41931,Udemy,17.48,8,12/18/2022
78,41931,FutureLearn,24.18,3,2/6/2020
79,26112,LinkedIn Learning,18.39,10,8/5/2020
80,26112,LinkedIn Learning,15.28,15,3/29/2023
81,6651,edX,0.29,16,8/6/2020
82,6651,LinkedIn Learning,20.44,5,2/28/2022
83,36802,FutureLearn,4.03,9,5/26/2021
84,36802,Udemy,7.53,15,8/23/2024
85,40824,FutureLearn,18.08,4,12/22/2023
86,40824,LinkedIn Learning,10.03,14,7/29/2024
87,22905,LinkedIn Learning,0.32,2,10/29/2022
88,22905,Coursera,13.65,7,2/25/2024
89,32911,Coursera,12.22,3,3/22/2023
90,32911,Udemy,16.29,3,6/3/2020
91,15494,LinkedIn Learning,12.26,7,12/22/2023
92,15494,Coursera,15.91,11,2/17/2020
93,40350,LinkedIn Learning,4.4,16,7/12/2021
94,40350,FutureLearn,21.2,1,12/11/2023
95,23253,Coursera,8.26,12,3/24/2022
96,23253,FutureLearn,19.61,8,11/4/2022
97,6429,FutureLearn,23.48,7,8/29/2022
98,6429,Coursera,14.13,7,8/15/2021
99,33269,Udemy,4.04,4,6/27/2021
100,33269,Udemy,12.73,14,10/10/2023
101,3812,Coursera,11.49,6,1/12/2020
102,3812,Coursera,19.87,4,1/9/2024
103,10579,edX,9.93,11,11/15/2023
104,10579,edX,4.24,8,3/2/2020
105,30073,edX,5.83,12,10/30/2020
106,30073,Coursera,3.62,16,1/12/2020
107,39142,LinkedIn Learning,21.62,9,9/5/2020
108,39142,edX,12.51,3,12/23/2024
109,30643,Udemy,8.2,13,3/8/2021
110,30643,Udemy,12.27,3,9/29/2022
111,29009,Udemy,23.5,8,10/11/2022
112,29009,FutureLearn,10.43,12,11/11/2023
113,11185,FutureLearn,17.73,12,6/21/2020
114,11185,LinkedIn Learning,3.56,13,2/23/2023
115,26239,LinkedIn Learning,9.89,6,5/8/2024
116,26239,FutureLearn,17.89,12,6/15/2023
117,27921,LinkedIn Learning,0.56,3,7/23/2024
118,27921,edX,21.02,12,9/18/2021
119,13365,Udemy,6.23,11,8/25/2020
120,13365,Coursera,22.7,8,6/8/2022
121,34713,LinkedIn Learning,2.8,10,2/19/2024
122,34713,edX,24.91,15,7/18/2023
123,17419,FutureLearn,12.48,3,6/16/2023
124,17419,LinkedIn Learning,17.42,3,2/12/2021
125,6449,Udemy,4.02,7,7/15/2023
126,6449,Coursera,4.19,13,11/27/2024
127,28956,FutureLearn,4.13,10,12/22/2022
128,28956,edX,7.97,3,11/23/2024
129,575,FutureLearn,13.95,13,3/20/2023
130,575,Udemy,24.63,14,12/23/2020
131,12061,FutureLearn,7.51,15,4/14/2024
132,12061,edX,8.58,6,2/26/2021
133,14816,LinkedIn Learning,5.05,2,8/4/2022
134,14816,edX,2.87,5,6/19/2023
135,31441,Udemy,7.42,10,5/31/2023
136,31441,Coursera,12.13,2,4/9/2022
137,25797,FutureLearn,17.47,16,8/22/2021
138,25797,LinkedIn Learning,4.11,3,2/12/2022
139,40253,FutureLearn,5.58,5,7/1/2020
140,40253,Coursera,11.21,10,8/11/2020
141,38055,edX,2.26,10,8/17/2024
142,38055,Coursera,17.15,7,7/11/2022
143,37305,LinkedIn Learning,0.39,12,6/29/2021
144,37305,Udemy,17.48,11,11/5/2022
145,20912,FutureLearn,17.52,4,11/19/2023
146,20912,Coursera,17.56,12,11/19/2024
147,33196,Udemy,12.23,7,12/25/2022
148,33196,Udemy,11.32,1,5/5/2024
149,35345,edX,5.89,13,4/10/2024
150,35345,LinkedIn Learning,1.05,3,1/3/2022
151,35981,Udemy,6.66,2,3/18/2022
