FreeLance_ID,St_ID,Platform,Payment,Duration,Date,Job_Description,Tools
1,24225,Toptal,106.79,7,7/30/2022,Data visualization project,Power BI
2,24225,Freelancer,236.46,7,2/9/2020,ETL pipeline creation,Tableau
3,10252,Upwork,58.29,3,12/7/2024,Web scraping service,R
4,10252,Freelancer,162.11,3,3/13/2020,Web scraping service,Python
5,33132,PeoplePerHour,60.82,3,1/30/2022,Backend API development,Excel
6,33132,Freelancer,259.63,6,2/13/2023,Data visualization project,Python
7,34137,Fiverr,123.16,3,11/8/2022,ETL pipeline creation,R
8,34137,Freelancer,236.12,5,6/24/2020,Statistical data analysis,R
9,39130,Freelancer,260.82,5,7/19/2024,Web scraping service,SQL
10,39130,Fiverr,132.13,6,6/24/2023,Data visualization project,Excel
11,29829,Toptal,174.22,4,12/10/2020,Web scraping service,JavaScript
12,29829,PeoplePerHour,97.45,6,12/13/2023,ETL pipeline creation,Excel
13,12951,Freelancer,159.13,4,1/23/2021,Data analysis with Python,R
14,12951,Freelancer,210.08,3,5/30/2023,Data analysis with Python,Power BI
15,30151,Toptal,271.2,7,4/2/2022,Backend API development,Power BI
16,30151,PeoplePerHour,195.45,4,8/6/2022,ETL pipeline creation,R
17,41826,PeoplePerHour,230.45,5,4/24/2022,ETL pipeline creation,Tableau
18,41826,PeoplePerHour,115.92,6,12/8/2023,Backend API development,Tableau
19,36615,PeoplePerHour,218.79,7,1/12/2022,Dashboard in Power BI,Python
20,36615,PeoplePerHour,97.39,7,9/10/2023,Dashboard in Power BI,R
21,17258,Fiverr,43.77,6,10/15/2024,Backend API development,SQL
22,17258,PeoplePerHour,143.32,6,3/13/2024,Bug fixing and testing,Python
23,1675,Upwork,16.38,3,8/23/2023,Web scraping service,SQL
24,1675,Freelancer,198.77,6,9/15/2021,Web scraping service,Python
25,28963,Freelancer,44.78,3,1/18/2022,ETL pipeline creation,JavaScript
26,28963,Fiverr,173.86,5,7/26/2023,Machine learning script,Python
27,725,PeoplePerHour,67.78,4,2/9/2022,Automated report building,Tableau
28,725,Freelancer,286.06,7,1/4/2021,Machine learning script,R
29,17242,Upwork,131.46,6,3/14/2020,Dashboard in Power BI,C++
30,17242,Fiverr,299.37,7,6/13/2020,Machine learning script,C++
31,7540,Toptal,291.55,3,6/20/2023,ETL pipeline creation,Python
32,7540,PeoplePerHour,239.08,6,12/10/2023,Data visualization project,R
33,38110,PeoplePerHour,183.23,4,5/16/2021,Automated report building,JavaScript
34,38110,Toptal,147.59,4,3/29/2022,Data analysis with Python,SQL
35,1758,Upwork,25.5,7,2/8/2024,Machine learning script,JavaScript
36,1758,Upwork,21.85,4,2/16/2020,Automated report building,Tableau
37,11362,Freelancer,54.18,6,5/10/2021,Web scraping service,Tableau
38,11362,Fiverr,201.01,3,6/20/2023,Statistical data analysis,JavaScript
39,17580,PeoplePerHour,171.04,6,5/11/2021,Backend API development,SQL
40,17580,Upwork,182.22,5,1/8/2023,Dashboard in Power BI,JavaScript
41,7908,Fiverr,87.9,7,1/14/2021,Backend API development,C++
42,7908,Toptal,234.49,6,10/11/2020,Bug fixing and testing,C++
43,26891,PeoplePerHour,218.51,6,12/29/2024,Dashboard in Power BI,JavaScript
44,26891,PeoplePerHour,6.14,6,7/21/2021,Automated report building,R
45,6826,Toptal,61.9,7,7/9/2023,Statistical data analysis,Power BI
46,6826,Freelancer,45.29,3,1/20/2020,Automated report building,JavaScript
47,32494,Toptal,17.48,6,2/13/2020,Statistical data analysis,JavaScript
48,32494,Upwork,86.46,6,10/2/2023,Backend API development,JavaScript
49,29347,Toptal,34.65,4,4/20/2023,Backend API development,JavaScript
50,29347,PeoplePerHour,28.19,7,6/10/2021,Data analysis with Python,SQL
51,8958,PeoplePerHour,279.04,5,8/6/2024,Web scraping service,Excel
52,8958,Freelancer,73.12,7,10/27/2023,Data analysis with Python,Tableau
53,12507,Freelancer,105.07,6,7/24/2022,Web scraping service,JavaScript
54,12507,Freelancer,40.77,4,7/11/2022,Data visualization project,Python
55,32663,Freelancer,32.28,5,3/12/2022,Bug fixing and testing,SQL
56,32663,Freelancer,181.48,3,11/4/2021,Backend API development,JavaScript
57,37362,PeoplePerHour,268,7,4/4/2021,Backend API development,C++
58,37362,Toptal,108.88,7,1/27/2020,Web scraping service,C++
59,41492,PeoplePerHour,22.1,5,8/28/2023,ETL pipeline creation,JavaScript
60,41492,Toptal,90.6,7,11/14/2024,Data visualization project,JavaScript
61,28864,Upwork,229.66,6,8/11/2022,Statistical data analysis,Power BI
62,28864,Freelancer,85.92,7,2/19/2024,Data visualization project,R
63,15014,Upwork,115.8,6,5/12/2020,Automated report building,Power BI
64,15014,Toptal,252.63,6,10/11/2020,Dashboard in Power BI,Tableau
65,2109,Freelancer,64.33,3,6/8/2022,ETL pipeline creation,Tableau
66,2109,Toptal,45.59,5,8/4/2023,Backend API development,R
67,37239,Toptal,165.27,6,12/19/2023,Data visualization project,Tableau
68,37239,Freelancer,247.73,5,8/17/2023,Automated report building,Power BI
69,976,PeoplePerHour,270.79,3,1/29/2024,ETL pipeline creation,JavaScript
70,976,Upwork,119.82,7,10/31/2022,Automated report building,JavaScript
71,21539,Toptal,173.37,7,3/1/2024,Data analysis with Python,JavaScript
72,21539,Fiverr,41,3,11/5/2021,Dashboard in Power BI,R
73,14703,PeoplePerHour,7.87,6,4/4/2021,Data analysis with Python,C++
74,14703,Toptal,135.69,6,12/23/2021,Automated report building,Python
75,12760,Fiverr,73.61,3,6/24/2024,Backend API development,R
76,12760,Upwork,3.69,3,7/4/2021,Dashboard in Power BI,Python
77,3675,Fiverr,33.59,3,7/18/2020,Statistical data analysis,Excel
78,3675,Upwork,14.9,7,3/7/2024,Machine learning script,C++
79,7596,Toptal,82.17,6,10/20/2020,Machine learning script,Power BI
80,7596,Toptal,270.99,5,6/27/2024,Automated report building,Python
81,38728,Fiverr,172.51,5,9/8/2024,Bug fixing and testing,Power BI
82,38728,Fiverr,252.94,4,4/26/2021,Statistical data analysis,Tableau
83,10499,Fiverr,56.33,6,8/2/2021,Automated report building,Excel
84,10499,PeoplePerHour,176.88,7,10/22/2024,Statistical data analysis,Excel
85,21608,PeoplePerHour,267.27,6,3/24/2024,Bug fixing and testing,R
86,21608,Fiverr,27.8,7,8/30/2021,Dashboard in Power BI,Excel
87,8148,Toptal,64.16,3,5/29/2024,Dashboard in Power BI,Python
88,8148,Freelancer,56.24,7,9/17/2023,ETL pipeline creation,SQL
89,34529,PeoplePerHour,287.77,6,2/16/2023,Statistical data analysis,SQL
90,34529,Upwork,208.5,6,9/15/2020,Dashboard in Power BI,JavaScript
91,28019,Fiverr,40.94,7,10/8/2020,ETL pipeline creation,Python
92,28019,PeoplePerHour,49.04,4,7/18/2020,Bug fixing and testing,JavaScript
93,18496,Upwork,199.21,4,12/16/2021,Automated report building,Python
94,18496,Upwork,196.31,7,3/24/2024,ETL pipeline creation,Python
95,29367,Fiverr,49.35,6,3/21/2023,ETL pipeline creation,Python
96,29367,PeoplePerHour,144.02,4,12/17/2024,Data analysis with Python,JavaScript
97,1282,Fiverr,113.77,3,4/16/2023,Statistical data analysis,Tableau
98,1282,PeoplePerHour,224.82,3,3/24/2024,Dashboard in Power BI,Power BI
99,16933,Toptal,21.14,3,8/25/2023,Automated report building,Power BI
100,16933,Toptal,277.81,7,9/18/2023,ETL pipeline creation,Power BI
101,34619,Toptal,194.03,6,5/15/2022,Dashboard in Power BI,Tableau
102,34619,Fiverr,227.09,4,11/24/2020,Backend API development,JavaScript
103,24427,PeoplePerHour,277.45,5,9/15/2021,Bug fixing and testing,R
104,24427,Upwork,28.26,7,2/3/2024,Data analysis with Python,SQL
105,20808,PeoplePerHour,218.37,6,7/30/2024,Web scraping service,Power BI
106,20808,Toptal,234.16,5,6/15/2023,Bug fixing and testing,SQL
107,3000,Upwork,109.66,4,3/1/2022,Web scraping service,SQL
108,3000,Fiverr,256.62,7,12/9/2024,Backend API development,Power BI
109,11179,Freelancer,46.19,7,8/12/2020,Dashboard in Power BI,Tableau
110,11179,Upwork,91.22,7,7/31/2020,Data analysis with Python,R
111,13380,Upwork,4.34,3,9/23/2022,Automated report building,R
112,13380,Upwork,140.44,6,11/15/2022,Data analysis with Python,Power BI
113,5399,Toptal,263.32,5,3/3/2024,Data visualization project,R
114,5399,Fiverr,10.96,3,11/20/2021,ETL pipeline creation,SQL
115,16283,Fiverr,104.77,4,10/26/2022,Automated report building,Tableau
116,16283,Freelancer,187,4,1/1/2023,Statistical data analysis,Power BI
117,29479,Upwork,253.56,6,7/11/2024,Bug fixing and testing,Tableau
118,29479,Freelancer,201.55,7,3/9/2024,Backend API development,C++
119,19252,Fiverr,239.09,5,10/11/2022,Bug fixing and testing,Excel
120,19252,PeoplePerHour,33.45,4,2/26/2021,Machine learning script,Excel
