choice_id,qest_id,answer
J2M3RP18,3,a
5LCF8333,3,b
I9XJ582B,3,c
H19RE3RP,3,d
II0OMZI8,8,a
780R8B7E,8,b
Q8U9CE4D,8,c
GANFVR01,8,d
VAKPAFLA,9,a
6YRTLIRM,9,b
9YK5XX9W,9,c
QKK406QI,9,d
WZ8UKYVG,12,a
1XGTO575,12,b
HXDGOD7J,12,c
NRDK28O1,12,d
HDWE3X7Y,13,a
17ZNBVC0,13,b
PYQU36VO,13,c
AVWVKG8F,13,d
70D4ADXG,16,a
ADEPS8Z1,16,b
3E695SCS,16,c
XBVSUEH0,16,d
373BIHTQ,19,a
4SGIQMO0,19,b
8KWO9GP9,19,c
BJUTVFED,19,d
15UNZV5H,25,a
11QCINNE,25,b
ONBQ3VH7,25,c
RG4CMJAB,25,d
F9U7LGTF,26,a
ZKIQ6RDF,26,b
SV7BWGNH,26,c
TT55Q5QI,26,d
OWM8HU4W,30,a
9PEJC5W1,30,b
TF6M8QWS,30,c
MXOVLHJT,30,d
6F6NCZR3,31,a
R9WKYLF8,31,b
3PYPS88W,31,c
CZW32E1I,31,d
ZKA15ZZC,32,a
9YHDO5HK,32,b
D79OMPIY,32,c
YDIZI6M6,32,d
KBGZHC54,33,a
LA4U4DYP,33,b
VGHWMLU8,33,c
MD40IRGO,33,d
L7HC6B3B,39,a
W3RT19A5,39,b
ASN3NU1W,39,c
MATF7Q66,39,d
YJISO5GG,42,a
BWTQ8WWY,42,b
X0PV8S9M,42,c
32EYIIG7,42,d
LQNU97G3,45,a
ZGAR2ECJ,45,b
D1JVZK3R,45,c
327B2GQQ,45,d
3HN589UK,48,a
HK9DFK51,48,b
OZQD9Y1X,48,c
07T8E9AU,48,d
YXLY7XNW,50,a
KHTRQ6GH,50,b
1WQ5DXLQ,50,c
VEIKPQ8X,50,d
8VTUSWJR,56,a
HDDP42YK,56,b
WAD24VQL,56,c
U2175X6B,56,d
ZX2PV3D0,57,a
KFL86SWU,57,b
WGR5NEW5,57,c
0AX24G8E,57,d
VYM1BXOU,58,a
1A37CYOF,58,b
U2OEYYFX,58,c
9UUDP5V0,58,d
NPR8510W,61,a
CTJFOKLR,61,b
K9SK376R,61,c
DGI8MR9K,61,d
ILE1YIFK,62,a
A1GFVAUB,62,b
UEWLABJX,62,c
YUZZOEFP,62,d
TSYAHAJP,66,a
KU628JUQ,66,b
RXUZ2UFN,66,c
KEN90E40,66,d
DNK2UR2T,71,a
UEOF83GR,71,b
BJ92TYMT,71,c
L4JJDOH0,71,d
U6XVIOG9,73,a
P9QHLMCX,73,b
B3XKA2NX,73,c
9SAH7HX1,73,d
A27363HE,76,a
IHWWBCKD,76,b
5KL4Y8J0,76,c
EIDVV8DO,76,d
A6UWNYK2,79,a
27LC3Z4G,79,b
6O7Y97TG,79,c
69QNZ8XF,79,d
YKDOFBJP,80,a
TWVQIJ2T,80,b
DT20LPRW,80,c
WDKRZKDW,80,d
6YVPXR8T,84,a
WHK9GRMS,84,b
WMGSIIXP,84,c
8N3RD1Q6,84,d
LJSGL005,85,a
SQPJFTJM,85,b
1AD2QJ1W,85,c
BRWSNP9K,85,d
H2IOBLOX,89,a
Q9SAIX2Y,89,b
J21TLLZL,89,c
8INJIRUV,89,d
WBCCPQ39,92,a
1SFGRLFH,92,b
4C15OUS1,92,c
2RNI5QPI,92,d
8DNQL89F,94,a
60A9XBLM,94,b
KUHDGFL4,94,c
TWEDWQWV,94,d
BVFKSPYS,106,a
B1LQ8SIO,106,b
QLYYG4JG,106,c
90T9FONR,106,d
ZBWICSSQ,107,a
7FWLLVZQ,107,b
9YHCD8RS,107,c
LRDMS703,107,d
VGB28JEU,109,a
UK6N6AKH,109,b
66AFSEXC,109,c
7PUC6R6L,109,d
XQSGJ9IS,110,a
I3WGYA8C,110,b
Z6O7UC15,110,c
ISOCKY8M,110,d
OOFGIQDV,111,a
O5CFU1YI,111,b
FN3FPQA4,111,c
PKFNQDRJ,111,d
OP4K5EZE,113,a
E0P4QLEF,113,b
5SSNNEDA,113,c
PHS45Y6Z,113,d
L5UP5YL3,114,a
WV0PNN1G,114,b
FNMR1RHZ,114,c
HPSLD4JH,114,d
43V57JO0,116,a
SWIYACK9,116,b
OMHDNSQ3,116,c
P8UMVR22,116,d
KWVKOS30,118,a
UBT6QYVZ,118,b
W5FMHMUM,118,c
KJ1MEB7B,118,d
NK8JORHP,123,a
BTLO30Z5,123,b
L3XRHJ58,123,c
7OHGCO83,123,d
YML81UZ5,124,a
IDM2PHHL,124,b
6YNOFTMM,124,c
6IPHYQBV,124,d
WQ7D2BC4,126,a
2HM4MDZX,126,b
F8Z0O83N,126,c
RM3E0AUN,126,d
R3S80M38,127,a
9499IOCY,127,b
6R43N3MQ,127,c
SD8UHFGY,127,d
911GXZ4W,133,a
DLJ9SO7J,133,b
WX3SDJPD,133,c
Y7GBEAE4,133,d
1IJPGC6S,137,a
M4WCO6F6,137,b
S74T5OVN,137,c
Z5B3NBJL,137,d
UEOVXQGT,144,a
ZXGN4H5E,144,b
JHAGM1QU,144,c
POJH8XWI,144,d
DIC7Q0D9,151,a
LCSR5FRX,151,b
DO3DSB72,151,c
BL5UDKKO,151,d
HFUDFZ8S,160,a
SEBH29HZ,160,b
DMOJA8KZ,160,c
UTX5E8VC,160,d
IB32AVKY,163,a
BT0FLBVF,163,b
3BXWPNAZ,163,c
UN8PDYXX,163,d
M64NSCCM,165,a
Q2IX3RO2,165,b
484WWYU6,165,c
Z9XIEHK5,165,d
4NC0R2NG,175,a
BF566BLS,175,b
Z4DKXNQC,175,c
HU7FS0WV,175,d
T226R9L3,188,a
L9JLKXYS,188,b
KHIB057R,188,c
6YNFF12P,188,d
N5WS17WC,191,a
6KBLIF6M,191,b
L6S67K2D,191,c
9YZQBJ4D,191,d
W7QBU75F,193,a
GAABB2KV,193,b
7XA9V73H,193,c
MZM74087,193,d
QHAGP8Q3,195,a
IBMHBVJJ,195,b
S6C727UT,195,c
1KRCN67G,195,d
5Q8YWBO6,197,a
M0U9Q5Y1,197,b
31M2BVRA,197,c
O9EDGP7E,197,d
NEVDSCR4,199,a
RLGMAN13,199,b
RQBYNBFT,199,c
0RBENES4,199,d
FXYATEYO,200,a
47PY6SGL,200,b
L26EMHCE,200,c
N8NL8M5Y,200,d
INCA2ADQ,201,a
ABJGV425,201,b
B7CUL1ZN,201,c
F0I5ZT9P,201,d
Y00QDV0M,202,a
097H2HNO,202,b
9J7KHKJL,202,c
3RSSC3MK,202,d
F3XPDM0C,210,a
7QKC6PL2,210,b
2LCZGCQO,210,c
CVD59MMC,210,d
AU4EFVMX,211,a
FBY23DIB,211,b
DK4QT6T2,211,c
Y4WFL1OB,211,d
PV0ALPR0,212,a
FF80N0LH,212,b
I1ASID3T,212,c
UWLBUCOC,212,d
886ZJF5T,217,a
4ODUQJJS,217,b
43I20Y4B,217,c
4EOPM31J,217,d
CJAOW981,219,a
3PSDCX98,219,b
IK1JAGF9,219,c
ZEK5JHUX,219,d
RZSJGUGI,221,a
337J8CG6,221,b
YI25K4Z8,221,c
V2IHJ4VO,221,d
D9FG15T6,226,a
7Y80J8UX,226,b
O7CXM48A,226,c
JQJSYLLC,226,d
22LOCB8A,227,a
GE2T5BEN,227,b
9JPLBACI,227,c
YJFFA56J,227,d
ZOYDNFEL,229,a
M0IEPJXB,229,b
V2BAWBFE,229,c
WAFNPJIY,229,d
2Y10JMQ9,230,a
71XX3LHW,230,b
QOLYW4LN,230,c
ZM0WIO3N,230,d
OSDGQR6E,231,a
