St_ID,Exam_ID,Ques_ID,Student_Answer,Is_Correct
7614,1273,325,D,0
7614,1273,1135,D,1
7614,1273,791,A,1
7614,1273,46,A,1
7614,1273,1173,A,1
7614,1273,975,B,1
7614,1273,846,B,1
7614,1273,486,A,0
7614,1273,153,A,1
38136,1175,935,D,0
38136,1175,337,D,1
38136,1175,366,A,1
38136,1175,791,D,1
38136,1175,1111,D,1
38136,1175,641,A,0
38136,1175,750,A,0
38136,1175,1087,A,0
38136,1175,443,B,1
38136,1175,248,D,1
38136,1175,128,D,1
16968,1071,12,B,1
16968,1071,733,A,1
16968,1071,783,A,0
16968,1071,22,D,1
16968,1071,719,D,1
16968,1071,755,A,1
16968,1071,1162,B,1
16968,1071,207,B,1
16968,1071,485,C,1
20972,861,147,A,1
20972,861,1147,A,1
20972,861,412,D,1
20972,861,293,C,1
20972,861,634,D,0
20972,861,693,A,1
20972,861,70,C,1
20972,861,1158,D,0
20972,861,594,A,1
20972,861,387,D,1
20972,861,628,B,1
23350,18,1124,A,0
23350,18,206,A,1
23350,18,930,D,1
23350,18,896,A,1
23350,18,445,D,1
23350,18,684,D,1
23350,18,58,C,1
23350,18,1131,A,0
23350,18,1095,D,0
23350,18,721,C,1
23350,18,1147,A,1
6440,336,666,B,1
6440,336,490,C,0
6440,336,1061,C,0
6440,336,33,B,1
6440,336,1094,D,0
6440,336,151,B,1
6440,336,815,C,1
6440,336,90,D,1
6440,336,731,D,1
6440,336,285,D,0
11602,1380,350,D,1
11602,1380,1035,B,1
11602,1380,966,A,1
11602,1380,1022,C,1
11602,1380,262,D,1
11602,1380,894,A,1
11602,1380,676,A,1
11602,1380,161,B,1
11602,1380,994,A,1
11602,1380,449,B,1
11602,1380,540,B,1
37088,406,138,A,1
37088,406,1100,B,0
37088,406,365,D,1
37088,406,231,B,1
37088,406,774,B,1
37088,406,233,B,1
37088,406,723,D,1
37088,406,1139,C,1
37088,406,981,C,1
37088,406,535,B,0
13751,786,143,A,1
13751,786,413,D,1
13751,786,1046,C,1
13751,786,398,B,1
13751,786,519,C,0
13751,786,879,D,1
13751,786,691,A,1
13751,786,97,B,0
13751,786,953,D,1
4688,604,668,A,0
4688,604,709,B,0
4688,604,518,D,1
4688,604,471,D,1
4688,604,358,B,1
4688,604,1066,A,1
4688,604,872,D,0
4688,604,401,A,0
4688,604,371,A,1
4688,604,309,D,1
26488,913,601,D,1
26488,913,727,A,1
26488,913,744,D,1
26488,913,592,C,1
26488,913,504,A,1
26488,913,694,D,1
26488,913,446,D,1
26488,913,996,B,1
26488,913,770,D,1
26488,913,242,C,0
26488,913,986,A,1
26488,913,845,B,1
38163,1468,532,B,0
38163,1468,116,B,1
38163,1468,504,B,0
38163,1468,166,B,1
38163,1468,469,A,1
38163,1468,242,B,0
38163,1468,1096,C,1
38163,1468,590,B,1
38163,1468,150,B,0
38163,1468,180,D,1
38163,1468,222,C,1
38163,1468,522,B,0
20744,832,1022,A,0
20744,832,408,D,1
20744,832,950,C,1
20744,832,389,C,1
20744,832,664,C,1
20744,832,174,B,0
20744,832,323,A,1
20744,832,667,C,1
20744,832,1089,A,1
20744,832,914,D,1
20744,832,121,B,1
20744,832,1067,C,1
16328,1298,802,A,1
16328,1298,886,C,1
16328,1298,255,D,0
16328,1298,411,D,0
16328,1298,1141,B,1
16328,1298,76,B,0
16328,1298,683,D,1
16328,1298,1071,D,1
16328,1298,217,C,1
16328,1298,744,A,0
16328,1298,885,C,1
4871,243,172,C,1
4871,243,370,D,1
4871,243,60,C,1
4871,243,19,A,1
4871,243,828,A,1
4871,243,195,D,1
4871,243,118,C,1
4871,243,562,D,0
4871,243,383,B,1
4871,243,1062,D,1
4871,243,583,D,0
13725,1283,151,B,1
13725,1283,17,A,1
13725,1283,560,D,1
13725,1283,758,D,0
13725,1283,1015,A,1
13725,1283,106,A,1
13725,1283,404,A,1
13725,1283,46,D,1
13725,1283,582,A,0
13725,1283,518,B,1
22505,559,520,C,1
22505,559,730,A,1
22505,559,946,B,1
22505,559,236,A,1
22505,559,1087,A,1
22505,559,880,A,1
22505,559,23,B,1
22505,559,562,C,1
22505,559,617,B,0
22505,559,430,B,1
22505,559,1065,C,1
22505,559,255,A,1
35002,716,1047,C,1
35002,716,314,D,1
35002,716,596,D,0
35002,716,231,A,1
35002,716,628,B,1
35002,716,11,B,1
35002,716,1129,D,1
35002,716,101,A,1
35002,716,989,D,1
35002,716,498,D,1
8979,936,968,A,1
8979,936,1181,A,1
8979,936,822,A,1
8979,936,271,C,0
8979,936,385,D,0
8979,936,57,D,1
8979,936,403,C,1
8979,936,608,C,0
8979,936,1151,C,1
5045,1307,398,B,1
5045,1307,94,D,0
5045,1307,79,A,1
5045,1307,516,C,1
5045,1307,217,A,1
5045,1307,368,D,1
5045,1307,880,A,1
5045,1307,419,B,1
5045,1307,466,B,1
5045,1307,941,B,0
5045,1307,746,B,1
12059,441,193,C,1
12059,441,540,C,1
12059,441,1164,A,0
12059,441,341,B,0
12059,441,1048,C,1
12059,441,539,C,1
12059,441,9,D,0
12059,441,538,C,1
12059,441,760,D,1
12059,441,322,A,1
24275,1091,284,A,1
