choice_id,Question_id,Choice,location
1,1,True,A
2,1,False,B
3,2,True,A
4,2,False,B
5,3,Choice A for Q3,A
6,3,Choice B for Q3,B
7,3,Choice C for Q3,C
8,3,Choice D for Q3,D
9,4,True,A
10,4,False,B
11,5,True,A
12,5,False,B
13,6,True,A
14,6,False,B
15,7,True,A
16,7,False,B
17,8,Choice A for Q8,A
18,8,Choice B for Q8,B
19,8,Choice C for Q8,C
20,8,Choice D for Q8,D
21,9,Choice A for Q9,A
22,9,Choice B for Q9,B
23,9,Choice C for Q9,C
24,9,Choice D for Q9,D
25,10,True,A
26,10,False,B
27,11,True,A
28,11,False,B
29,12,Choice A for Q12,A
30,12,Choice B for Q12,B
31,12,Choice C for Q12,C
32,12,Choice D for Q12,D
33,13,Choice A for Q13,A
34,13,Choice B for Q13,B
35,13,Choice C for Q13,C
36,13,Choice D for Q13,D
37,14,True,A
38,14,False,B
39,15,True,A
40,15,False,B
41,16,Choice A for Q16,A
42,16,Choice B for Q16,B
43,16,Choice C for Q16,C
44,16,Choice D for Q16,D
45,17,True,A
46,17,False,B
47,18,True,A
48,18,False,B
49,19,Choice A for Q19,A
50,19,Choice B for Q19,B
51,19,Choice C for Q19,C
52,19,Choice D for Q19,D
53,20,True,A
54,20,False,B
55,21,True,A
56,21,False,B
57,22,True,A
58,22,False,B
59,23,True,A
60,23,False,B
61,24,True,A
62,24,False,B
63,25,Choice A for Q25,A
64,25,Choice B for Q25,B
65,25,Choice C for Q25,C
66,25,Choice D for Q25,D
67,26,Choice A for Q26,A
68,26,Choice B for Q26,B
69,26,Choice C for Q26,C
70,26,Choice D for Q26,D
71,27,True,A
72,27,False,B
73,28,True,A
74,28,False,B
75,29,True,A
76,29,False,B
77,30,Choice A for Q30,A
78,30,Choice B for Q30,B
79,30,Choice C for Q30,C
80,30,Choice D for Q30,D
81,31,Choice A for Q31,A
82,31,Choice B for Q31,B
83,31,Choice C for Q31,C
84,31,Choice D for Q31,D
85,32,Choice A for Q32,A
86,32,Choice B for Q32,B
87,32,Choice C for Q32,C
88,32,Choice D for Q32,D
89,33,Choice A for Q33,A
90,33,Choice B for Q33,B
91,33,Choice C for Q33,C
92,33,Choice D for Q33,D
93,34,True,A
94,34,False,B
95,35,True,A
96,35,False,B
97,36,True,A
98,36,False,B
99,37,True,A
100,37,False,B
101,38,True,A
102,38,False,B
103,39,Choice A for Q39,A
104,39,Choice B for Q39,B
105,39,Choice C for Q39,C
106,39,Choice D for Q39,D
107,40,True,A
108,40,False,B
109,41,True,A
110,41,False,B
111,42,Choice A for Q42,A
112,42,Choice B for Q42,B
113,42,Choice C for Q42,C
114,42,Choice D for Q42,D
115,43,True,A
116,43,False,B
117,44,True,A
118,44,False,B
119,45,Choice A for Q45,A
120,45,Choice B for Q45,B
121,45,Choice C for Q45,C
122,45,Choice D for Q45,D
123,46,True,A
124,46,False,B
125,47,True,A
126,47,False,B
127,48,Choice A for Q48,A
128,48,Choice B for Q48,B
129,48,Choice C for Q48,C
130,48,Choice D for Q48,D
131,49,True,A
132,49,False,B
133,50,Choice A for Q50,A
134,50,Choice B for Q50,B
135,50,Choice C for Q50,C
136,50,Choice D for Q50,D
137,51,True,A
138,51,False,B
139,52,True,A
140,52,False,B
141,53,True,A
142,53,False,B
143,54,True,A
144,54,False,B
