Event_ID,St_ID
3,15739
72,8097
16,8586
7,380
57,18277
21,30802
58,2715
37,2775
88,9622
48,24123
30,39683
22,28713
1,28789
15,14184
26,31331
59,30227
16,20629
97,29841
68,36379
81,38136
76,4030
24,7890
36,15054
33,16051
66,29240
9,28659
4,27565
6,587
90,36927
33,5170
95,26659
75,29066
60,21675
17,12887
44,36641
57,2963
97,38001
50,6213
75,2399
95,3852
2,4444
76,19111
54,17543
33,26777
62,3556
79,23962
71,8079
81,4464
47,30192
16,8094
13,28295
37,15477
8,39685
95,2116
62,18442
45,17491
91,29863
59,3996
72,33395
58,41760
13,21294
15,33268
7,23337
11,1378
3,7710
26,27667
87,26216
79,28484
38,40872
24,31112
44,19485
39,8750
55,26736
36,6803
79,39325
35,11183
33,18438
57,17998
55,19495
65,19718
23,9724
51,19997
16,12542
72,15051
11,41180
67,18401
85,9702
48,730
63,18646
68,23948
5,5255
21,16961
28,15087
79,17925
11,9019
47,33212
32,12469
5,41591
14,10454
76,10467
95,14103
85,21534
3,2871
97,10561
49,21508
28,25450
35,40632
2,2136
73,35483
58,24275
16,24939
61,526
91,13222
66,41381
72,33487
69,36079
50,8718
61,19390
70,21064
47,39454
25,30626
89,9718
96,1776
54,28085
56,25379
32,29740
20,24094
37,15146
49,19058
29,6125
81,24774
7,37289
21,17639
49,22331
2,22672
83,29927
65,18714
83,2507
97,40207
71,12663
63,39068
24,23904
30,35412
100,26938
77,17712
86,39704
42,37703
80,9400
52,17150
71,10515
80,32136
91,1034
35,37172
1,25699
90,31716
28,7264
58,8152
41,24698
30,7214
85,37414
46,22021
31,18155
51,5663
77,12796
68,11304
29,21743
82,5511
82,41586
91,9562
16,31989
71,7730
53,28425
86,31396
88,10140
97,1683
98,33695
5,14134
34,20215
17,17628
27,5935
62,38228
49,6417
86,1418
56,2780
84,29234
100,21073
28,7714
5,25963
87,19482
28,35408
97,11542
78,40468
42,31393
35,16986
36,15711
93,2384
12,322
34,20515
31,34661
76,6761
35,7235
16,13906
27,5384
7,529
38,14995
79,19927
96,21720
15,8649
10,1016
6,15516
7,22114
39,36858
75,8447
55,24599
84,2648
9,26058
54,1765
40,29034
40,38107
73,9413
42,27866
39,40910
39,5075
12,19708
12,41456
68,30202
86,28994
67,10403
70,567
39,18887
34,8584
68,29756
66,30932
40,16251
82,24721
75,23702
16,14797
37,9358
5,344
15,14686
85,9552
48,32647
88,28745
41,41053
76,23980
1,15604
75,23570
40,21230
22,23060
53,22074
53,550
86,15924
30,32848
21,10203
77,1203
85,39351
2,3469
49,14656
80,34584
19,436
59,11279
65,16526
51,23386
66,35247
7,40236
75,7280
53,3041
84,39809
63,26537
43,17390
3,5454
65,32950
28,27436
100,35491
100,25931
26,27672
74,20935
79,325
58,19397
29,9918
75,22333
65,6991
27,39096
51,1522
92,31838
70,22679
35,19401
100,33318
99,17760
59,33854
70,18213
41,13423
64,40682
23,8326
56,38597
4,21817
47,5727
32,41271
56,15482
91,12454
96,41831
71,25127
70,23176
78,29932
73,49
65,731
53,6977
7,35010
5,29976
46,22472
21,34856
92,1780
49,12307
23,15622
48,3686
46,34502
96,5241
73,12124
69,32336
28,8652
32,19881
13,15715
27,2297
61,27471
98,4601
47,37970
38,37418
11,26591
31,16403
31,34439
79,13948
73,22587
69,11269
21,11410
87,10768
51,41457
96,34816
11,218
100,40575
16,32927
1,1814
95,32554
65,40176
88,34390
22,5745
78,12140
12,10987
47,20776
7,18345
27,7453
44,32341
94,35622
55,10453
74,25423
66,14883
67,36277
42,28732
11,31327
33,19380
24,22723
39,40294
5,31926
59,34939
93,29692
60,3084
40,37505
44,34220
35,28327
57,37853
67,38089
36,32877
31,27602
8,12752
67,19787
2,31354
42,30720
12,38989
48,12633
50,23799
48,7245
32,20709
80,32556
76,16223
49,26782
36,12321
42,29704
37,18824
17,19815
44,3218
13,14066
12,3040
98,28866
62,18992
3,37405
41,35079
78,14881
35,1777
36,41907
48,40472
6,33168
87,5147
21,14316
70,13204
73,35559
44,40997
74,27123
56,36213
49,23010
71,36405
67,28298
84,36577
100,34079
91,23574
90,931
8,26298
32,33208
80,38745
84,14068
30,17493
79,14032
91,23668
67,30322
55,26911
74,7119
49,9435
83,19979
85,26414
88,32404
100,17783
98,212
6,16504
70,4071
84,15012
71,4079
38,29239
83,41859
25,38554
83,37149
44,24264
81,26799
30,27203
43,13136
13,5347
9,23174
66,5800
35,26380
26,11567
4,35616
72,8866
64,19218
36,18087
92,24425
3,27000
85,27026
75,37001
44,31038
75,30722
94,22124
82,26344
57,42117
33,4698
94,20235
7,36594
86,5251
65,35664
36,37654
64,14868
66,34701
11,8919
23,9207
25,36954
42,3895
38,6289
56,39013
26,37830
92,9822
96,36781
90,13586
26,24956
72,38448
84,25705
46,26430
97,5516
51,2239
7,17751
55,13615
74,18169
15,28523
73,6349
100,35227
52,35619
8,8199
66,2541
65,29814
81,19409
29,28428
48,15544
37,7821
21,24489
47,10069
98,31171
82,29683
54,31823
85,12
99,40700
79,41226
79,15406
42,36633
57,18075
56,39478
100,18866
23,21158
28,28166
92,41710
74,38120
9,3074
30,19830
37,5836
59,2510
83,6833
89,37897
26,34181
87,40532
75,3921
98,19194
36,18406
86,30669
86,41761
35,2002
93,36447
90,9171
37,36764
44,33389
88,12054
92,1026
98,22736
10,26230
30,34297
97,13478
80,17747
86,35
5,38374
16,23861
53,18783
52,18459
98,33678
73,40780
86,1971
89,11348
2,39331
62,33875
48,13194
44,37093
98,35545
90,21553
19,33646
30,41304
97,38382
33,35498
55,17979
64,24217
90,36643
14,2813
90,16709
66,16506
54,19933
1,35792
39,19416
94,4025
28,27085
10,22583
