Company_ID,St_ID
291,11610
182,41154
211,32383
218,30406
15,36945
5,37977
119,29420
4,36995
45,41635
48,40929
212,21182
71,41106
78,20719
255,9894
77,28821
113,4476
268,30732
193,28981
242,41379
137,19846
65,18002
51,38760
228,3682
107,23065
200,33249
272,4863
119,20343
274,30261
189,29617
29,2465
298,3729
167,24166
231,18814
11,5029
300,5918
100,40306
133,38934
16,33232
294,25198
44,30325
209,38033
185,36328
17,2689
279,29474
59,37465
36,12337
97,21072
211,39650
133,31171
10,32858
124,9887
141,4055
271,29526
129,6784
288,22508
140,5527
97,33067
243,11309
238,2566
18,16237
8,28689
216,28798
89,34346
250,34259
293,39965
170,10404
296,23849
172,24436
64,18540
157,25390
93,26790
182,22176
131,39184
146,3432
199,41346
220,21932
295,4320
169,21607
151,6194
71,36567
44,25334
244,18622
182,16515
223,39499
67,9855
244,21848
176,5342
87,38191
257,9269
4,22926
7,20332
58,25688
213,8451
35,38997
229,5553
105,20289
139,36630
157,24687
237,21528
297,8376
146,34498
164,6125
300,27749
95,33325
120,23713
161,1195
61,23764
210,20242
109,11814
283,14038
117,22396
84,31869
217,12584
143,14847
264,9016
250,10155
47,5058
24,19386
28,6629
47,33272
228,35375
7,34507
239,2474
285,22071
53,40504
65,8589
146,39142
173,24689
230,10110
208,10634
39,11852
123,40943
21,10849
139,28684
290,2864
155,26927
287,23875
145,15567
47,29112
148,40016
89,18674
126,29421
161,15336
180,34997
77,15675
278,20282
104,30738
110,12716
248,24107
87,37384
274,28875
242,30257
184,18467
208,25027
252,32959
294,34568
285,27438
64,10621
107,13088
25,39628
71,9071
213,16385
167,3420
194,31496
141,24328
234,36343
242,6724
50,33811
43,8171
175,18682
266,5497
287,10507
67,17878
34,29447
269,33644
240,9657
20,28671
268,6011
143,14552
38,29566
2,22911
250,1748
296,27191
62,3491
60,25983
214,32900
62,24508
39,15452
154,25308
206,5349
132,24571
131,14716
196,1848
42,20886
53,6494
299,21974
259,9572
124,9018
31,2511
296,18801
235,30963
186,9096
156,30744
89,29400
155,40328
251,345
109,5193
265,1246
280,16773
173,14134
95,9799
124,35967
255,39904
248,34589
150,27739
287,7287
254,18882
235,15574
3,19737
29,7986
241,3130
287,15627
287,27514
62,40817
76,29958
175,4117
125,7266
89,32757
172,39108
49,35131
81,1078
45,41416
285,33776
16,37687
282,15856
84,9410
85,19089
208,28131
248,103
293,40293
300,23123
31,15766
210,37400
208,27301
211,12276
10,5611
76,34308
278,23633
221,4436
185,34476
105,35657
282,41976
111,33268
293,36317
185,1333
236,25589
33,30811
210,2854
158,41660
207,25355
272,24465
69,16624
56,1065
1,23403
8,4428
97,22597
242,15803
5,41174
11,6794
229,38136
24,21792
126,8744
250,2906
267,23089
32,35784
271,22188
263,11475
214,30450
223,31362
297,41402
116,11946
85,8838
19,4136
256,29995
18,2424
293,19232
264,13212
121,2871
140,13073
259,2747
139,20683
80,20322
223,33777
252,26099
156,35589
277,31025
226,16602
210,2400
91,12525
210,18751
178,23395
31,3133
244,21754
147,17906
138,8158
175,24119
203,28637
163,26216
227,28819
69,25340
219,22220
242,12244
203,32520
185,32606
142,24075
46,34032
262,17480
83,5415
258,27821
53,5173
229,28221
139,39483
256,11827
245,35749
296,19253
180,21051
2,41834
21,5248
100,21491
158,19376
171,20087
68,29224
77,39494
32,27926
96,10922
224,29092
92,23039
204,29304
116,2776
30,23106
111,40295
65,28505
200,17994
131,3760
177,4918
88,26622
191,23810
227,33626
115,10485
124,2041
6,9358
17,39818
237,28717
133,2281
21,8273
196,4407
117,15467
172,24008
45,23734
222,25091
264,37175
176,2123
76,39656
77,10056
140,29487
239,24312
205,24381
246,29095
189,5039
63,37613
65,9024
176,34699
286,24049
103,26086
247,20604
295,18265
13,16359
32,7435
184,1699
108,12193
205,32706
209,33931
107,25362
100,36810
70,7718
253,17156
223,17059
119,29247
112,14063
133,40100
67,18716
77,32192
273,13119
182,8038
205,8896
82,4854
267,29626
119,11316
239,29171
72,5754
113,20945
255,22769
91,4256
96,36045
173,35532
297,19030
107,19658
53,10323
19,11410
120,23691
118,33342
242,14696
28,7954
4,13172
279,9102
300,15515
160,32377
73,1723
107,23652
129,36309
18,37505
105,24177
229,30632
6,36153
137,8505
102,40105
98,5651
120,4309
101,20270
64,26094
276,31370
264,34452
108,26922
274,26833
144,37677
188,4834
205,8214
43,20777
66,4861
185,29490
250,30529
281,33906
7,22579
138,8411
238,36131
113,38522
226,11926
52,8457
269,28353
191,32956
59,3632
245,8138
216,33955
293,10029
